,,,,,,Corsi (EV),,,,Fenwick (EV),,,,PDO (),,,Zone Starts (EV),,,,,,,,
257,Morgan Frost,25,CGY,C,25,364,357,50.5,-0.6,247,244,50.3,-0.2,5.6,89.9,95.6,56.5,43.5,17:15,14:08,13,24,-3.7,96,45.8
258,Jonah Gadjovich,26,FLA,LW,35,262,265,49.7,-6.6,170,193,46.8,-7.5,6.7,90.1,96.7,49.2,50.8,7:55,7:48,1,4,2.1,64,46.9
259,Brendan Gallagher,32,MTL,RW,75,937,953,49.6,2.8,650,669,49.3,2.2,9.4,88.9,98.4,44.3,55.7,13:50,12:18,15,55,9.6,276,50.7
260,Conor Garland,28,VAN,RW,74,1053,1017,50.9,2,754,715,51.3,3,8.1,88.7,96.8,52.5,47.5,18:42,15:00,18,58,4,325,48.9
261,Marc Gatcomb,25,NYI,F,31,241,255,48.6,-1.8,161,180,47.2,-4.2,10.8,88.8,99.6,56,44,9:23,9:20,4,10,-2.9,51,51
262,Jacob Gaucher,23,PHI,F,4,28,30,48.3,7.4,19,20,48.7,6.3,14.3,86.7,101,70,30,7:21,7:21,1,0,0.2,4,75
263,Adam Gaudette,28,OTT,C,74,652,606,51.8,2.1,450,433,51,0.7,9.6,94.3,103.9,64.4,35.6,10:14,8:53,6,38,-0.8,177,48
264,Frédérick Gaudreau,31,MIN,C,76,796,1016,43.9,-3.7,560,727,43.5,-4.9,11.7,90.8,102.5,44.4,55.6,15:37,12:39,22,46,-6,190,54.7
265,Brendan Gaunce,30,MIN,C,12,82,143,36.4,-11.8,61,101,37.7,-10.4,2.6,92.2,94.8,34.5,65.5,9:42,9:13,2,7,-1.8,25,44
266,Cutter Gauthier,21,ANA,LW,75,915,1085,45.8,-0.1,667,785,45.9,0,11.8,92.6,104.4,46.3,53.7,14:02,12:26,18,75,-9.1,363,46
267,Julien Gauthier,27,NYI,RW,1,6,8,42.9,-16.4,4,7,36.4,-20.1,0,100,100,0,100,7:42,7:42,0,0,-0.5,0,
268,Vladislav Gavrikov,29,LAK,D,75,1507,1312,53.5,0.5,1071,912,54,0.3,10,91.3,101.3,38.8,61.2,23:13,19:53,21,67,5.4,252,38.5
269,Conor Geekie,20,TBL,C,49,527,519,50.4,-0.8,360,372,49.2,-1.9,8.7,90.8,99.6,47.2,52.8,12:09,11:22,7,28,-2.6,115,46.1
270,Morgan Geekie,26,BOS,C,71,1101,1026,51.8,4.6,764,742,50.7,3.9,11,89.1,100.1,68.4,31.6,16:52,15:05,28,46,1.4,283,47.7
271,Isaiah George,20,NYI,D,33,451,526,46.2,-2,311,383,44.8,-4.6,9.3,91.4,100.7,50.4,49.6,15:39,15:30,6,26,-5.1,74,35.1
272,Dennis Gilbert,28,TOT,D,26,214,255,45.6,-7.6,140,182,43.5,-9,13.8,87.2,100.9,42.6,57.4,9:56,9:28,5,9,-3.2,22,22.7
272,Dennis Gilbert,28,BUF,D,25,209,247,45.8,-7.2,137,175,43.9,-8.6,14.3,87.5,101.8,42.5,57.5,10:04,9:36,4,9,-3.4,21,23.8
272,Dennis Gilbert,28,OTT,D,1,5,8,38.5,-19.1,3,7,30,-21.9,0,80,80,50,50,6:19,6:19,1,0,0.2,1,0
273,Patrick Giles,25,TOT,F,17,117,166,41.3,-9.4,83,123,40.3,-9.7,3.9,93.5,97.4,53.4,46.6,9:14,8:49,1,8,-0.2,21,71.4
273,Patrick Giles,25,FLA,F,9,44,73,37.6,-14.9,31,58,34.8,-15.3,5.3,94.4,99.7,63.3,36.7,7:23,7:17,0,5,-1.3,6,66.7
273,Patrick Giles,25,SJS,F,8,73,93,44,-4.5,52,65,44.4,-5.3,3.1,92.7,95.8,46.5,53.5,11:19,10:33,1,3,1.1,15,73.3
274,Adam Ginning,25,PHI,D,1,12,12,50,-11.6,4,9,30.8,-26.6,0,87.5,87.5,60,40,12:48,12:48,0,1,0,3,0
275,Samuel Girard,26,COL,D,70,1351,1198,53,-1.6,962,842,53.3,-0.7,11,89.5,100.5,50.9,49.1,20:49,18:43,23,82,0.8,213,41.8
276,Zemgus Girgensons,31,TBL,C,75,619,634,49.4,-1.3,444,439,50.3,-0.3,4.5,93.6,98.1,44.5,55.5,11:35,9:57,10,25,1.1,142,56.3
277,Claude Giroux,37,OTT,C/LW,75,1124,958,54,5.3,798,686,53.8,4.6,8.3,89.6,97.9,55.2,44.8,18:26,13:36,16,61,3.1,221,58.8
278,Cody Glass,25,TOT,C,59,721,622,53.7,3.4,496,443,52.8,3.7,9,89.5,98.5,48.1,51.9,13:41,11:49,11,27,4.4,176,48.3
278,Cody Glass,25,PIT,C,51,604,516,53.9,2.6,417,369,53.1,3,7.4,88.9,96.2,46.5,53.5,13:25,11:29,11,22,3.6,153,51
278,Cody Glass,25,NJD,C,8,117,106,52.5,9.3,79,74,51.6,9.6,17.3,93.2,110.5,57.1,42.9,15:19,0.583333333,0,5,0.8,23,30.4
279,Luke Glendening,35,TBL,C,74,510,660,43.6,-8.4,365,467,43.9,-8,4.9,92.6,97.4,34.8,65.2,10:54,9:04,6,19,-3.7,94,53.2
280,Gage Goncalves,24,TBL,C,53,552,579,48.8,-2,392,404,49.2,-1.6,9.9,92.2,102.1,52,48,12:20,11:54,15,33,-5.5,88,51.1
281,Barclay Goodrow,31,SJS,RW,70,661,902,42.3,-5,452,643,41.3,-6.6,5.5,88,93.5,44.7,55.3,13:49,11:22,24,51,-16.5,129,53.5
282,Shayne Gostisbehere,31,CAR,D,65,1195,696,63.2,5.2,852,518,62.2,5.4,9.2,87.8,96.9,62.5,37.5,18:25,14:50,34,71,15.4,304,37.5
283,Yanni Gourde,33,TOT,C,50,726,663,52.3,2.9,534,468,53.3,3.4,10.6,88.6,99.2,43.8,56.2,15:43,14:12,15,32,-0.2,131,46.6
283,Yanni Gourde,33,SEA,C,36,522,478,52.2,4.3,379,333,53.2,4.7,10.9,86.8,97.6,39.9,60.1,15:30,13:52,11,23,-0.9,87,46
283,Yanni Gourde,33,TBL,C,14,204,185,52.4,-0.8,155,135,53.4,-0.4,10.1,92.7,102.8,52,48,16:19,15:03,4,9,0.7,44,47.7
284,Collin Graf,22,SJS,F,31,312,401,43.8,-3.8,217,269,44.7,-4.2,10.5,89.4,99.9,40.5,59.5,15:37,12:23,7,15,-3.1,60,61.7
285,Mikael Granlund,32,TOT,C,76,1157,1354,46.1,0.8,831,974,46,2.4,11.4,90.7,102.1,51.6,48.4,19:42,15:16,17,74,-9.5,308,51.9
285,Mikael Granlund,32,SJS,C,52,809,961,45.7,1.1,582,687,45.9,2.4,10.2,89.7,100,52.4,47.6,20:51,15:37,13,57,-6.8,237,53.2
285,Mikael Granlund,32,DAL,C,24,348,393,47,0.5,249,287,46.5,2.4,14.4,93.3,107.7,49.8,50.2,17:12,14:31,4,17,-2.7,71,47.9
286,Helge Grans,22,PHI,D,6,74,93,44.3,-0.9,49,52,48.5,0.2,7.9,91.4,99.3,59.5,40.5,14:28,14:10,2,8,0.8,13,38.5
287,Kevin Gravel,32,NSH,D,6,89,104,46.1,-1.3,66,71,48.2,-0.9,10.9,95.9,106.8,45.2,54.8,17:50,16:43,0,7,0.4,19,31.6
288,Ryan Graves,29,PIT,D,55,680,696,49.4,-1.6,478,491,49.3,-0.6,6.7,88.8,95.5,40.6,59.4,15:06,13:21,17,58,-1,127,29.9
289,Nikita Grebenkin,21,TOR,RW,7,37,61,37.8,-7.2,25,46,35.2,-12.9,0,93.3,93.3,36,64,8:45,8:26,1,1,-2.6,6,33.3
290,Jordan Greenway,27,BUF,LW,34,432,405,51.6,0.3,306,291,51.3,0.4,12.2,87.3,99.5,46.2,53.8,15:04,12:24,7,23,-6.6,88,40.9
291,A.J. Greer,28,FLA,LW,75,644,583,52.5,-3.8,447,421,51.5,-3.7,8,92.7,100.7,50.1,49.9,9:26,8:54,8,39,8.5,143,53.1
292,Noah Gregor,26,TOT,C,45,375,485,43.6,-8.4,266,343,43.7,-9.2,3.6,89.5,93.1,47.1,52.9,11:11,10:20,5,16,-7.1,125,41.6
292,Noah Gregor,26,OTT,C,40,346,429,44.6,-8,245,305,44.5,-8.8,4,91,95,48.4,51.6,11:21,10:25,5,14,-6.4,115,40
292,Noah Gregor,26,SJS,C,5,29,56,34.1,-12.2,21,38,35.6,-13.4,0,78.6,78.6,40,60,9:51,9:44,0,2,-0.7,10,60
293,Ridly Greig,22,OTT,C,72,903,1055,46.1,-5.3,643,722,47.1,-4.3,8.8,89.3,98.1,36.3,63.7,0.708333333,13:32,20,32,-6.9,213,50.2
294,Carl Grundström,27,SJS,RW,49,429,472,47.6,1.5,307,330,48.2,1.8,5.4,88.3,93.7,43.2,56.8,9:29,9:17,2,34,-2.5,128,57.8
295,Matt Grzelcyk,31,PIT,D,76,1364,1391,49.5,-0.9,943,1013,48.2,-1.8,10,89.6,99.7,55.5,44.5,20:28,17:53,27,78,-10.5,230,36.1
296,Radko Gudas,34,ANA,D,74,1219,1425,46.1,0.4,888,995,47.2,1.6,9.2,92.3,101.5,38.6,61.4,19:36,17:13,11,92,-7.3,236,35.2
297,Erik Gudbranson,33,CBJ,D,8,99,116,46,-8.2,70,83,45.8,-8,14.6,79.6,94.2,44.6,55.4,16:32,13:41,0,7,-1.5,15,26.7
298,Dylan Guenther,21,UTA,RW,64,953,840,53.2,0.1,677,591,53.4,0.5,9.5,89,98.5,65.1,34.9,16:50,13:16,16,49,-1.3,415,44.8
299,Jake Guentzel,30,TBL,C,74,1302,1216,51.7,1.6,929,865,51.8,1.7,13.1,91.2,104.3,60.7,39.3,20:03,16:10,24,75,8.8,334,60.8
300,Kaiden Guhle,23,MTL,D,48,817,941,46.5,-2.1,573,643,47.1,-1.1,11.5,90.6,102.1,41.9,58.1,21:10,18:51,13,35,-5.2,155,40.6
301,Daniil Gushchin,22,SJS,LW,10,95,109,46.6,0,69,73,48.6,2.8,6.7,90.4,97.1,51.5,48.5,12:07,10:46,0,1,-1.3,33,39.4
302,David Gustafsson,24,WPG,C,32,254,252,50.2,-0.4,183,170,51.8,-0.4,11.6,94.3,105.8,22.6,77.4,8:58,8:42,2,7,4,51,52.9
303,Erik Gustafsson,32,DET,D,60,836,778,51.8,4.9,600,579,50.9,3.9,7.1,89.1,96.2,58,42,16:19,14:41,10,75,-0.5,188,35.6
304,Brandon Hagel,26,TBL,LW,75,1361,1149,54.2,5.6,954,820,53.8,4.9,12.9,90.4,103.3,45,55,20:56,16:18,27,92,20.3,409,52.3
305,Robert Hägg,29,VEG,D,2,15,24,38.5,-7.4,10,13,43.5,-1.4,0,100,100,60,40,11:09,11:09,0,0,0.3,2,0
306,Nicolas Hague,26,VEG,D,64,929,1018,47.7,-4.7,684,723,48.6,-4.4,7.6,92,99.6,49.6,50.4,16:57,15:57,17,53,-3.7,171,42.1
307,Jani Hakanpää,32,TOR,D,2,21,33,38.9,-9,15,23,39.5,-9.6,8.3,89.5,97.8,71.4,28.6,14:05,13:02,0,6,-0.9,5,40
308,Taylor Hall,33,TOT,LW,70,961,925,51,2.2,652,670,49.3,0.8,10.5,89.1,99.6,52.7,47.3,15:07,13:26,34,70,-1.8,274,47.4
308,Taylor Hall,33,CHI,LW,46,577,654,46.9,3.5,380,471,44.7,0.8,10.9,87.5,98.5,50,50,14:59,13:42,25,40,-5.4,169,48.5
308,Taylor Hall,33,CAR,LW,24,384,271,58.6,0.1,272,199,57.7,0.6,9.9,92.8,102.6,58.2,41.8,15:23,12:54,9,30,3.6,105,45.7
309,Brian Halonen,26,NJD,F,2,33,22,60,5.3,17,14,54.8,10.4,9.1,66.7,75.8,44.4,55.6,13:54,12:25,1,2,-0.2,6,33.3
310,Dougie Hamilton,31,NJD,D,63,1214,1073,53.1,2.4,840,769,52.2,2.3,10.9,90.3,101.2,62.1,37.9,19:48,16:34,20,92,5,413,44.1
311,Travis Hamonic,34,OTT,D,56,811,952,46,-5.4,583,662,46.8,-4.9,4.2,92.1,96.3,42.5,57.5,17:02,15:27,16,59,-7.3,183,38.8
312,Noah Hanifin,28,VEG,D,75,1504,1370,52.3,2.4,1129,1000,53,2.6,10,88.8,98.8,56.5,43.5,21:31,19:18,31,104,16.2,308,44.2
313,Joel Hanley,33,CGY,D,47,782,720,52.1,0.2,542,491,52.5,1.5,8.5,92.3,100.8,51.4,48.6,18:10,16:45,6,57,5.8,118,30.5
314,Mike Hardman,25,NJD,RW,1,7,7,50,5.3,5,3,62.5,17.7,0,100,100,50,50,8:24,8:14,0,0,0.3,1,0
315,Jansen Harkins,27,ANA,C,57,418,573,42.2,-4.6,277,399,41,-6.3,7.4,89.7,97.1,25.8,74.2,10:56,9:24,14,34,-5.7,87,51.7
316,Thomas Harley,23,DAL,D,73,1501,1352,52.6,4.3,1046,991,51.4,4.3,12.4,91.8,104.2,53.1,46.9,23:20,19:28,26,111,14.7,372,43.3
317,Jordan Harris,24,CBJ,D,29,252,352,41.7,-5.5,182,251,42,-5.5,7.3,91.1,98.4,40.4,59.6,11:07,11:01,3,14,-4.9,31,41.9
318,Ryan Hartman,30,MIN,RW,63,868,911,48.8,3,627,639,49.5,3.3,7.6,90.9,98.5,48.4,51.6,15:12,13:49,21,62,-0.8,279,52
319,Rafaël Harvey-Pinard,26,MTL,LW,1,5,9,35.7,-15.3,2,6,25,-22.9,0,100,100,,,8:54,8:54,0,0,-0.5,0,
320,Garnet Hathaway,33,PHI,RW,61,561,666,45.7,-3,405,421,49,-1.8,9.9,90.9,100.8,34.3,65.7,11:52,10:28,7,25,4.4,134,57.5
321,Erik Haula,33,NJD,LW,63,692,769,47.4,-4.7,495,573,46.3,-5.1,8.8,89.5,98.3,42.5,57.5,14:29,12:22,14,38,-5.6,172,58.1
322,John Hayden,29,SEA,C,16,133,136,49.4,2.3,101,93,52.1,4.7,7.5,95.2,102.6,61,39,8:20,8:11,2,4,0.2,28,50
323,Kevin Hayes,32,PIT,RW,59,626,555,53,3.1,439,425,50.8,1.3,7.1,87.4,94.5,48.3,51.7,12:12,9:52,13,32,-0.2,183,49.7
324,Barrett Hayton,24,UTA,C,76,1208,900,57.3,6,854,648,56.9,5.5,8.8,89.3,98.1,55.7,44.3,16:06,13:27,16,42,9.1,289,48.8
325,Victor Hedman,34,TBL,D,72,1460,1274,53.4,4.8,1042,929,52.9,4,11.4,91.2,102.6,59.4,40.6,23:12,18:38,24,103,11.8,428,38.3
326,Emil Heineman,23,MTL,LW,60,546,568,49,2.6,358,381,48.4,1.6,9.6,88.3,97.9,40.1,59.9,11:23,10:20,8,31,-1.9,158,39.9
327,Danton Heinen,29,TOT,C/LW,73,781,805,49.2,-0.1,535,573,48.3,-0.5,10.3,90.2,100.4,53,47,13:23,11:37,17,41,-4.8,149,49.7
327,Danton Heinen,29,VAN,C/LW,51,540,575,48.4,-0.5,370,396,48.3,0.1,11.2,89.7,100.9,47.6,52.4,13:57,11:52,11,26,-3.4,102,43.1
327,Danton Heinen,29,PIT,C/LW,22,241,230,51.2,1,165,177,48.2,-1.7,8.3,91.3,99.6,66.1,33.9,12:04,11:01,6,15,-1.4,47,63.8
328,Ville Heinola,23,WPG,D,17,210,223,48.5,0.4,149,152,49.5,0.2,10,98,108,41.5,58.5,13:58,13:37,7,13,1,37,29.7
329,Miro Heiskanen,25,DAL,D,50,1108,963,53.5,3.2,760,706,51.8,1.8,10.1,90,100.1,55.5,44.5,25:10:00,20:53,28,67,10.4,287,37.6
330,Samuel Helenius,22,LAK,C,43,335,342,49.5,-4.2,226,227,49.9,-4.5,7.1,94.2,101.3,49.1,50.9,8:36,8:35,3,20,-3,56,42.9
331,Drew Helleson,23,ANA,D,49,649,835,43.7,-2.9,460,619,42.6,-4.4,11.2,93.8,105,46.2,53.8,15:54,15:09,15,42,-9.2,132,40.2
332,Adam Henrique,34,EDM,C,74,789,915,46.3,-9.7,541,615,46.8,-9.2,8.1,92,100.1,40.6,59.4,14:27,12:06,18,53,-1.8,166,57.8
333,Tomáš Hertl,31,VEG,C,70,1086,949,53.4,3.7,793,642,55.3,5.5,9.4,87.4,96.8,60.5,39.5,17:07,14:14,27,43,15.4,307,55.4
334,Matthew Highmore,28,OTT,LW,35,289,349,45.3,-4,196,251,43.8,-5.7,4.1,93.1,97.1,46.6,53.4,11:09,9:44,4,18,-4.7,58,53.4
335,Vinnie Hinostroza,30,TOT,C,35,412,394,51.1,3.2,285,280,50.4,2,7.8,92.9,100.6,50.6,49.4,13:15,11:56,8,29,1,99,45.5
335,Vinnie Hinostroza,30,MIN,C,22,259,274,48.6,3.4,175,189,48.1,2.2,8,93.4,101.4,48.5,51.5,14:15,12:16,7,17,0.8,63,54
335,Vinnie Hinostroza,30,NSH,C,13,153,120,56,3.5,110,91,54.7,2,7.4,91.8,99.2,54.9,45.1,11:32,11:22,1,12,0.2,36,30.6
336,Roope Hintz,28,DAL,LW,69,899,936,49,-1.3,624,675,48,-1.1,12.9,92,104.9,46.8,53.2,16:54,12:57,15,63,7.2,264,55.7
337,Nico Hischier,26,NJD,C,70,1231,1031,54.4,4.9,862,731,54.1,5.3,9.7,90.7,100.3,48,52,20:27,15:27,24,49,13.3,327,56
338,Nils Höglander,24,VAN,LW,66,689,688,50,1.6,485,486,49.9,1.4,10.7,91.4,102.1,58.2,41.8,11:52,11:15,11,31,4.8,133,57.1
339,Justin Holl,33,DET,D,66,847,831,50.5,3.7,627,596,51.3,5,7.5,90.7,98.2,55.1,44.9,14:47,13:38,6,63,3.8,95,34.7
340,Dylan Holloway,23,STL,C,77,1125,1032,52.2,4.5,781,709,52.4,4.8,12.1,90.5,102.5,53.2,46.8,16:49,14:56,34,69,18.1,336,53
341,Pontus Holmberg,25,TOR,RW,61,664,762,46.6,-1.7,461,514,47.3,-2.2,7.3,92.6,99.9,43.7,56.3,12:46,11:44,8,24,0,135,45.9
342,Simon Holmström,23,NYI,RW,67,903,974,48.1,-1.5,664,659,50.2,0.3,11.6,90.1,101.6,48.2,51.8,16:59,13:41,11,44,0.5,183,45.4
343,Alexander Holtz,23,VEG,RW,49,495,538,47.9,-2.8,356,383,48.2,-3.6,7.3,91.9,99.2,54,46,11:31,11:01,3,32,-2.1,121,51.2
344,Samuel Honzek,20,CGY,LW,5,52,68,43.3,-5,38,47,44.7,-4.9,7.7,93.5,101.2,63.2,36.8,12:24,10:49,1,4,-0.3,8,75
345,Bo Horvat,29,NYI,C,73,1303,1220,51.6,3.2,957,870,52.4,3.4,10.5,89.8,100.3,54.5,45.5,20:16,16:17,18,82,1.8,402,54.5
346,Brett Howden,26,VEG,C,73,942,954,49.7,-1.3,712,681,51.1,-0.1,11.3,90.1,101.4,49.7,50.3,14:47,13:40,21,39,0.1,198,58.6
347,Filip Hronek,27,VAN,D,54,1109,948,53.9,5.7,787,709,52.6,4.4,10.5,87.2,97.7,60,40,23:47,19:46,10,65,9.5,217,33.6
348,Justin Hryckowian,23,DAL,F,5,28,41,40.6,-11,24,27,47.1,-2.8,6.7,100,106.7,31.8,68.2,7:53,7:52,0,2,-0.6,4,75
349,Jonathan Huberdeau,31,CGY,LW,75,1261,1153,52.2,1.3,871,823,51.4,0.7,8.9,88.4,97.3,63.1,36.9,19:27,15:19,22,85,-0.8,249,58.2
350,Jack Hughes,23,NJD,C,62,1263,957,56.9,8.5,861,685,55.7,7.9,10.8,89.4,100.2,71.6,28.4,20:54,16:52,22,87,17.4,465,49.2
351,Luke Hughes,21,NJD,D,66,1271,1137,52.8,1.9,866,829,51.1,1,7.9,90.5,98.4,53.3,46.7,21:06,19:08,29,81,6.6,291,36.8
352,Quinn Hughes,25,VAN,D,61,1450,1068,57.6,14.7,1037,785,56.9,14.4,11.5,86.9,98.4,65.7,34.3,25:36:00,21:47,24,82,16.8,456,38.6
353,Daemon Hunt,22,MIN,D,1,14,7,66.7,27.6,11,4,73.3,32,0,100,100,100,0,8:01,7:25,1,0,0,5,40
354,Dryden Hunt,29,CGY,LW,4,33,45,42.3,-11,19,34,35.8,-14.7,7.1,81,88.1,60,40,10:57,10:52,2,4,-0.2,7,57.1
355,Lane Hutson,20,MTL,D,75,1540,1443,51.6,6.8,1101,1020,51.9,7.1,10.4,88.4,98.9,66.7,33.3,22:40,19:39,51,95,12.3,267,31.8
356,Ben Hutton,31,VEG,D,6,48,71,40.3,-9.1,40,48,45.5,-3.4,6.3,90.3,96.6,50,50,11:11,11:04,0,2,0.4,11,72.7
357,Grant Hutton,29,NYI,D,13,112,156,41.8,-4.4,84,113,42.6,-3.6,8.6,94.6,103.2,42,58,13:28,12:22,2,8,-1.8,20,50
358,Zach Hyman,32,EDM,LW,69,1343,928,59.1,7.5,989,685,59.1,7.1,10.2,88.7,98.9,64,36,19:04,15:52,14,42,20.4,354,57.1
359,Arttu Hyry,23,DAL,F,5,51,54,48.6,-3.4,26,36,41.9,-8.1,6.3,95.2,101.5,50,50,9:05,9:05,1,1,-1.1,8,62.5
360,Alex Iafallo,31,WPG,C,76,678,641,51.4,2.2,508,433,54,4.4,11.8,92.7,104.4,38.5,61.5,12:53,9:47,21,28,6,167,56.3
361,Bokondji Imama,28,PIT,LW,16,80,96,45.5,-1.5,60,67,47.2,-0.2,11.1,95.7,106.8,51.3,48.7,5:40,5:40,0,3,-0.2,13,76.9
362,Jere Innala,26,COL,F,15,67,84,44.4,-10.9,45,53,45.9,-8.9,4,87.1,91.1,44.4,55.6,6:55,6:45,1,2,-1,15,26.7
363,Ivan Ivan,22,COL,F,40,329,311,51.4,-1.8,221,217,50.5,-2.5,9,84.9,94,32.9,67.1,10:02,9:02,2,22,-2.2,65,52.3
364,Juha Jaaska,26,CAR,F,18,171,106,61.7,3.9,129,79,62,4.8,6,87,93,61.7,38.3,8:56,8:42,1,8,0.9,28,39.3
365,Mark Jankowski,30,TOT,C,52,570,443,56.3,3.3,409,309,57,5.5,8,92.4,100.4,48.4,51.6,12:18,10:19,5,28,9.2,115,49.6
365,Mark Jankowski,30,NSH,C,41,461,363,55.9,4.5,329,253,56.5,6.4,6.2,91.3,97.5,46.9,53.1,12:43,10:34,4,15,8.4,94,47.9
365,Mark Jankowski,30,CAR,C,11,109,80,57.7,-0.9,80,56,58.8,2.2,16.7,97.4,114.1,53.6,46.4,10:48,9:23,1,13,0.8,21,57.1
366,Mattias Janmark,32,EDM,C,73,671,793,45.8,-10.3,477,544,46.7,-9.4,7.8,91.6,99.4,42.3,57.7,13:07,11:32,15,43,-5.2,100,47
367,Calle Järnkrok,33,TOR,C,12,91,169,35,-11.3,64,123,34.2,-12.8,14,91.8,105.7,29.4,70.6,12:53,11:28,1,2,-1.8,18,33.3
368,Seth Jarvis,22,CAR,C/RW,67,1143,804,58.7,-0.5,805,555,59.2,1.3,10.5,87.5,98,56.7,43.3,19:28,14:04,28,54,9,354,51.1
369,Tanner Jeannot,27,LAK,F,67,656,661,49.8,-4.4,467,461,50.3,-4.9,9.1,91.5,100.6,53.6,46.4,11:01,10:57,3,36,-2.9,129,43.4
370,Jan Jeník,24,OTT,RW,2,12,24,33.3,-18,5,20,20,-29.6,0,93.8,93.8,0,100,7:42,7:42,0,0,-1.4,2,0
371,Boone Jenner,31,CBJ,C,18,288,257,52.8,1.4,219,189,53.7,2.3,14.7,87,101.7,52.5,47.5,17:55,14:20,4,22,1,78,60.3
372,Nick Jensen,34,OTT,D,66,1226,1161,51.4,0.9,865,832,51,0.3,10.2,92.3,102.5,49.9,50.1,20:18,18:01,18,76,-1.6,196,36.2
373,David Jiříček,21,TOT,D,12,118,144,45,-5.7,79,103,43.4,-6.6,9.8,92.5,102.3,53.2,46.8,12:07,11:38,3,15,0,25,36
373,David Jiříček,21,CBJ,D,6,59,65,47.6,-8.9,38,43,46.9,-8.2,8.7,84,92.7,58.1,41.9,11:12,11:11,1,4,0.6,13,38.5
373,David Jiříček,21,MIN,D,6,59,79,42.8,-1.9,41,60,40.6,-4.3,10.7,97.6,108.3,48.4,51.6,13:02,12:05,2,11,-0.7,12,33.3
374,Albert Johansson,24,DET,D,53,753,811,48.1,-0.3,531,567,48.4,-0.3,8.1,91,99.1,52.6,47.4,16:21,0.666666667,12,47,-6.1,112,35.7
375,Marcus Johansson,34,MIN,C/W,66,943,1029,47.8,0.9,670,713,48.4,1.2,7.8,91.3,99.1,45.7,54.3,16:19,14:59,12,38,-0.3,209,51.7
376,Erik Johnson,36,TOT,D,31,374,393,48.8,1.1,267,270,49.7,-0.1,7.2,92.8,100,47.4,52.6,14:02,12:27,15,23,-2.3,56,46.4
376,Erik Johnson,36,PHI,D,22,214,282,43.1,-2.2,149,194,43.4,-4.8,9.3,91.3,100.6,50.4,49.6,13:18,11:41,8,18,-3.6,29,48.3
376,Erik Johnson,36,COL,D,9,160,111,59,5.9,118,76,60.8,7.3,4.5,97.4,101.9,41.7,58.3,15:47,14:19,7,5,1.3,27,44.4
377,Jack Johnson,38,CBJ,D,39,380,463,45.1,-5.1,269,342,44,-6.5,10.7,85.9,96.6,47.7,52.3,12:45,11:07,7,19,-4.9,57,38.6
378,Kent Johnson,22,CBJ,C,60,829,799,50.9,4.3,595,577,50.8,3.1,13.3,86.4,99.6,53.8,46.2,17:27,14:13,18,54,-1.8,225,47.6
379,Reese Johnson,26,MIN,F,3,19,29,39.6,-8.5,12,16,42.9,-7.7,0,100,100,27.3,72.7,9:32,9:31,0,1,0,3,33.3
380,Ryan Johnson,23,BUF,D,3,52,63,45.2,-7.4,39,37,51.3,1.6,4.3,85,89.3,42.4,57.6,17:40,17:38,0,2,-0.1,12,25
381,Tyler Johnson,34,BOS,C,9,89,103,46.4,-7.3,61,73,45.5,-7.8,11.4,89.6,101,40.5,59.5,13:05,12:07,0,2,-1.8,16,37.5
382,Ross Johnston,30,ANA,LW,43,287,395,42.1,-4.7,187,279,40.1,-6.8,5.8,94.2,100,34.1,65.9,8:41,8:41,3,18,-2.2,31,29
383,Wyatt Johnston,21,DAL,C,75,1056,1162,47.6,-3.3,734,841,46.6,-3.1,12,89.8,101.8,47.3,52.7,18:58,14:28,27,48,10.1,360,52.8
384,Henri Jokiharju,25,TOT,D,54,879,820,51.7,2,608,615,49.7,-0.4,10.4,91.2,101.6,49.1,50.9,17:26,16:21,10,57,-9.1,159,34.6
384,Henri Jokiharju,25,BUF,D,42,670,624,51.8,0.2,464,462,50.1,-2.1,10.2,92,102.2,52.6,47.4,16:18,15:31,8,42,-5.6,120,36.7
384,Henri Jokiharju,25,BOS,D,12,209,196,51.6,9.4,144,153,48.5,7.4,11,88.7,99.6,40.1,59.9,21:23,19:15,2,15,-3.5,39,28.2
385,Ben Jones,25,MIN,F,26,172,261,39.7,-9.2,124,183,40.4,-9,3.3,94.9,98.2,33.7,66.3,8:23,8:15,2,9,-0.9,51,47.1
386,Caleb Jones,27,LAK,D,5,64,34,65.3,15.2,43,22,66.2,16.9,0,89.5,89.5,70.6,29.4,12:49,11:46,1,2,0.5,15,40
387,Max Jones,26,TOT,LW,19,123,169,42.1,-10.2,72,125,36.5,-15.7,4.8,86.4,91.2,51.3,48.8,8:53,8:49,1,6,-4.9,29,27.6
387,Max Jones,26,EDM,LW,12,79,92,46.2,-9.8,46,70,39.7,-16.5,3.8,86,89.9,58,42,8:13,8:13,1,2,-3.1,22,27.3
387,Max Jones,26,BOS,LW,7,44,77,36.4,-8.7,26,55,32.1,-12.3,6.3,86.8,93.1,40,60,10:01,9:52,0,4,-1.7,7,28.6
388,Seth Jones,30,TOT,D,56,1109,1171,48.6,3,780,884,46.9,1.1,8.9,88.6,97.6,56,44,24:50:00,19:43,23,72,-6.9,270,41.9
388,Seth Jones,30,CHI,D,42,758,914,45.3,2.5,532,675,44.1,0.8,10.6,88.3,98.9,53,47,24:30:00,19:33,18,56,-9.4,196,41.3
